id,headline,photoPath,articleText,originalURL,createdAt,updatedAt
32,Dies in Meth-Lab Explosion After Lighting Farts on Fire,methlab.png,"A 37-year-old man is dead after his trailer home was destroyed in a meth-lab explosion, caused by him lighting up ‘blue angels’ to amuse his wife. The man’s wife was found lying naked on the couple’s front yard, reportedly still laughing. “A Blue Angel is when you put a lighter up to your butt and fart on it, making it catch on fire. It’s funny as s—,” explains the man’s wife, who claims to be an expert on the subject. “Normally we go to Del Taco because of their $0.59 tacos, but we made some extra cash this week so we went to Chipotle. The farts you get from there could fill a gas chamber. I know he’s looking up from hell laughing his ass off saying it was worth it,” she says smiling through blackened teeth, apparently not caused by the fire. The woman plans on suing Chipotle, which failed to address their peppers causing a higher rate of methane in human farts. She offered a statement, “I’m not mad about my husband dying, I just got my eyebrows did and now they’re gone.” Chipotle Mexican Grill has yet to respond.",https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,,
34,Calls 911 Over Missing Beer So Many Times He Gets Arrested,missingbeer.jpg,"How is that not an emergency? A Florida man has been arrested for repeatedly making false 911 calls complaining that his wife had ""thrown out his beer."" Officers called out to his home in West Palm Beach told an apparently intoxicated Carlos Bueno Mir that the situation really was not an emergency and not call 911 again. But after they left he phoned again, yelling at an operator that a woman had broken into two of his beers, reports wpbf.com. Over the course of four hours, he phoned 911 seven times. The sobering fact is that Bueno Mir now faces charges of misusing the 911 emergency system and making a false complaint.",https://www.nydailynews.com/news/national/florida-man-calls-911-missing-beer-article-1.1816420,,
35,Sex Delay Extends Night-Long Standoff with Police on Jacksonville’s Westside,mobilehome.jpg,"A woman who told police she preferred sex to surrender was arrested Thursday after she and a man she was with refused to come out of a mobile home on Jacksonville’s Westside. A SWAT team called to the 9700 block of Noroad to apprehend a felon Wednesday night forced its way into the residence and arrested Leanne Hunn, 30, and Ryan Patrick Bautista, 34, shortly after 4 a.m. the next day, according to the Jacksonville Sheriff’s Office. Michael V. Forte, 34, who was wanted in a in Sept. 8 fatal shooting, was also arrested on an armed robbery warrant, police said. Forte is being held in the Duval County jail on charges of murder, armed robbery with a firearm or other deadly weapon and possession of a weapon by a felon, according to jail records. Police had alerted the media Monday that they were searching for Forte in connection with the death of 38-year-old Luciano Zachary “Jon” Brewer, who staggered into the Burger King at 13180 Atlantic Blvd. with a gunshot wound and later died. Also arrested in the shooting death at the Burger King was William Darcy James, a 31-year-old Clay County transient. He is charged with second-degree murder and tampering with evidence, police said. Thursday’s arrests came after a night-long standoff when at one point Hunn told police over the phone she would give up but wanted to have sex with Bautista “one last time,” according to the police report. She hung up but never came out.",https://www.jacksonville.com/news/crime/2015-10-15/story/sex-delay-extends-night-long-standoff-police-jacksonvilles-westside,,
36,"Suspect Arrested After his 'Accomplice ""Butt-Dialed"" 911 and Accidentally Told Police About Murder Plot'",buttdial.jpg,"A Florida man accused of opening fire on a motorist and killing him has been arrested after his alleged accomplice accidentally 'butt dialed' 911 and allowed police to overhear the murder plot. Ronel Desinor, 27, of Pompano Beach, Florida, was arrested on Monday and is accused of being the gunman who killed 33-year-old Nicholas Walker on Interstate-95 near Orlando in May. Scott Simon, 24, was arrested shortly after the murder in May and accused of being the 'mastermind' behind it. The Orlando Sentinel reports that Simon allegedly pocket dialed 911 as he discussed following Walker home and killing him. Minutes after making the call a 33-year old man was shot while driving on the I-95. The car then crashed into the centre guard rail and exploded in flames. The deadly shooting of Walker and subsequent fire on May 5th shut down the busy road in Lauderill, south Florida for about three hours. Police were able to connect Simon to the shooting from the 'butt dialed' call he accidentally made. Detectives do not believe he fired the shots at Walker, but that he was heavily involved in the crime after getting into an argument and fight earlier in a Waffle House restaurant. Desinor, the second suspect in the case, is accused of being the gunman. Simon's call was recorded by police. Officials said it will not be released, but on the tape Simon is alleged to have said he’s going to follow the victim home and kill him. Detectives have appealed for help in tracing another suspect in the murder. They have released surveillance video of another man they believe to be involved.",https://www.dailymail.co.uk/news/article-2349325/Ronel-Desinor-arrested-accomplice-butt-dialed-911-told-police-murder-plot.html,,
37,Charged With DUI in His Motorized Wheelchair,wheelchair.jpg,"A man was held on $5,000 bond Wednesday after he was arrested on a Florida bridge and charged with felony DUI — in his motorized wheelchair. Ronny Scott Hicks, 54, remained in the Brevard County Jail after his arrest shortly after midnight Tuesday at AIS Trail Park in the town of Palm Bay, according to Brevard County court records. Police said that Hicks was blocking multiple lanes of travel on a bridge and that he smelled strongly of alcohol. He refused to take a field sobriety test, they said, and he declined treatment for an unexplained head wound. Hicks has an extensive DUI record — including two convictions in 2013 and one in 1998 — court records show. It couldn't immediately be determined whether those offenses were committed in his wheelchair or in a more traditional vehicle.",https://www.nbcnews.com/news/us-news/florida-man-charged-dui-his-motorized-wheelchair-n444701,,
38,"Says His Cat Downloaded Child Porn, Not Him.",catoncomputer.jpg,"Florida law enforcement agents have charged 48-year-old Keith R. Griffin (shown at left) with 10 counts of possession of child pornography after a detective found over a thousand such images on his computer. In his defense, Mr. Griffin told detectives ""he would leave his computer on and his cat would jump on the keyboard. And when he returned there will be strange material downloaded."" He is jail, with bail set at a quarter million dollars. His cat roams free.",https://boingboing.net/2009/08/07/accused-florida-man.html,,
39,"Calls 911 Eighty TImes to Demand Kool-Aid, Hamburgers, and Weed",koolaid.jpg,"If you're going to call 911 eighty consecutive times, you'd better have a damn good reason: snakes biting your eyeballs, bikers armed with medieval weapons circling your house, multiple missing limbs. A 34-year-old man in Tampa did not have a damn good reason for calling 911 eighty times last Sunday. Jarvis Carlton Sutton wanted Kool-Aid, hamburgers, and weed, and he wanted police to bring them to him. Sutton kept 911 operators busy Sunday by blitzing them all day long with phone calls. When Pinellas County Sheriff's deputies finally showed up at Sutton's house, he was honest about his demands.",https://www.miaminewtimes.com/news/florida-man-calls-911-eighty-times-to-demand-kool-aid-hamburgers-and-weed-6559505,,
40,Claims Wife was Kidnapped by Holograms,holograms.jpg,"""The man, whose name has not been released, was 'extremely agitated' and holding a baseball bat when officials arrived. He told them that 'the men' abducted his wife and that 'they used holograms to project signals on the walls to get him to do what they wanted and to communicate with each other,' according to a sheriff's report.",https://www.huffingtonpost.com/2014/02/06/hologram-intruders-abduct-woman_n_4740750.html,,
41,Flashes Buttocks at IHOP after Impersonating a Police Officer to Get Free Food.,ihop.jpg,"International Business Times:  ""Matt Skytta, 55, entered the IHOP around 1 a.m. Friday and told a server who asked if he had money, 'No, but I am a cop, and I get food for free,' according to a police report obtained by the Orlando Sentinel . He then threatened to beat up the IHOP server and shouted, 'Hey buddy!' before dropping his pants and exposing his buttocks to the IHOP employee, according to the Sentinel .""",https://www.ibtimes.com/fake-cop-matt-skytta-florida-man-shows-ihop-server-his-butt-when-free-food-request-doesnt-work,,
42,"Attempts to Ride Bike Through Taco Bell Drive-Thru, Fights with Police.",bikethrough.jpg,"""According to the report, Taco Bell workers called police at 3:10 a.m. Sunday after Harris and a woman, both intoxicated, would not leave the restaurant. Police found Harris on a bicycle by the menu speaker, a report states. As police were asking Harris to leave, they spotted a red Swiss Army knife on Harris' belt loop and tried to reach for it. Harris grabbed the officer's wrist and Harris was wrestled to the ground and handcuffed. Harris suffered a scraped forehead, police said.""",https://mic.com/articles/107372/49-tremendous-things-florida-men-accomplished-this-year#.CngCRr2k1,,
43,Escapes Adult Novelty Store with $300 Jenna Jameson Doll in Tow.,jennajameson.jpg,"The suspect walked up to the counter of the Inner Secrets shop in Vero Beach and asked worker Cathryn Morales 'some questions about the doll.' Following the perp's question time, he 'grabbed the doll off the counter and ran out of the store' without paying for the product. While the Jenna Jameson doll is not further described by investigators, it appears likely that the stolen item was the 'Jenna Jameson Extreme Doll,' a battery-powered model in the likeness of the 39-year-old porn star. Along with a 'vibrating ultra soft mouth,' the full-size Jameson doll, its manufacturer notes, features 'an exquisite lifelike removable pussy and ass.",http://www.thesmokinggun.com/buster/theft/jenna-jameson-stolen-657430,,
44,"Caught with ""Active"" Meth Lab in his Pants",methpants.jpg,"A Florida man was arrested Thursday after patrol deputies found an active methamphetamine lab in his pants leg.Authorities received an anonymous call stating a subject was present that possessed methamphetamine. During their investigation, officers discovered an active ""One-Pot"" meth lab in the pants leg of 23-year-old Ian Freudenriech of Defuniak Springs.Freudenriech transported to the Walton County Jail. He was charged with manufacturing methamphetamine and trafficking in methamphetamine. Freudenriech is and is being held on a $25,000 bond.",https://www.fox10tv.com/news/meth-lab-found-in-pants-leg-of-suspect/article_4c323e8f-2221-5f91-bdff-99ebc10025a9.html,,
45,Accidentally Butt-Dials 911 While Cooking Meth with His Mom.,methdial.jpg,"A police operator stayed on the line for nearly half an hour listening to them 'talking about making and selling methamphetamine,' according to a police report. ""The operator, cops noted, also detected a 'bubbling sound as if something was cooking.' During the 911 call, the police dispatcher reported, a man who identified himself as 'Tommy' stated that he was on probation and complained that a police official 'had been watching him.'",http://thesmokinggun.com/buster/meth-makers-pocket-dial-911-587632,,
46,Attacks ATM with Hatchet After it Refuses to Take His Check.,atmhatchet.jpg,"After a handful of police officers identified Moore from the surveillance photos, he was arrested early Monday as he rode his bicycle along Big Tree Road and Golfview Boulevard. He was charged with criminal mischief and burglary to a structure",https://mic.com/articles/107372/49-tremendous-things-florida-men-accomplished-this-year#.1zxV3AakS,,
